word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,response.keys,response.corr,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,left,3.21697617528,,,,2018_Aug_22_2201,None,Robot_Voice,001,c1,
blue,red,0,left,0,0,0,5,,,left,1,0.86582986244,2018_Aug_22_2201,None,Robot_Voice,001,c1,
blue,blue,1,right,0,1,1,4,,,left,0,0.300010776844,2018_Aug_22_2201,None,Robot_Voice,001,c1,
green,blue,0,right,0,2,2,3,,,left,0,0.265177093559,2018_Aug_22_2201,None,Robot_Voice,001,c1,
green,green,1,down,0,3,3,2,,,left,0,0.635263414903,2018_Aug_22_2201,None,Robot_Voice,001,c1,
red,green,0,down,0,4,4,1,,,left,0,0.315773787319,2018_Aug_22_2201,None,Robot_Voice,001,c1,
red,red,1,left,0,5,5,0,,,left,1,0.351274608609,2018_Aug_22_2201,None,Robot_Voice,001,c1,
blue,blue,1,right,1,0,6,4,,,left,0,0.233827528642,2018_Aug_22_2201,None,Robot_Voice,001,c1,
red,red,1,left,1,1,7,0,,,left,1,0.267314303715,2018_Aug_22_2201,None,Robot_Voice,001,c1,
blue,red,0,left,1,2,8,5,,,left,1,0.317375708046,2018_Aug_22_2201,None,Robot_Voice,001,c1,
green,blue,0,right,1,3,9,3,,,left,0,0.252119742194,2018_Aug_22_2201,None,Robot_Voice,001,c1,
red,green,0,down,1,4,10,1,,,down,1,0.40017464015,2018_Aug_22_2201,None,Robot_Voice,001,c1,
green,green,1,down,1,5,11,2,,,down,1,0.300015119163,2018_Aug_22_2201,None,Robot_Voice,001,c1,
blue,red,0,left,2,0,12,5,,,down,0,0.116841129176,2018_Aug_22_2201,None,Robot_Voice,001,c1,
green,green,1,down,2,1,13,2,,,down,1,0.232977618507,2018_Aug_22_2201,None,Robot_Voice,001,c1,
red,green,0,down,2,2,14,1,,,right,0,0.148428337339,2018_Aug_22_2201,None,Robot_Voice,001,c1,
green,blue,0,right,2,3,15,3,,,right,1,0.211623675741,2018_Aug_22_2201,None,Robot_Voice,001,c1,
red,red,1,left,2,4,16,0,,,right,0,0.0664982636663,2018_Aug_22_2201,None,Robot_Voice,001,c1,
blue,blue,1,right,2,5,17,4,,,right,1,0.0828613035865,2018_Aug_22_2201,None,Robot_Voice,001,c1,
blue,red,0,left,3,0,18,5,,,right,0,0.0286853552152,2018_Aug_22_2201,None,Robot_Voice,001,c1,
green,blue,0,right,3,1,19,3,,,right,1,0.083624367353,2018_Aug_22_2201,None,Robot_Voice,001,c1,
blue,blue,1,right,3,2,20,4,,,right,1,0.133888281624,2018_Aug_22_2201,None,Robot_Voice,001,c1,
green,green,1,down,3,3,21,2,,,right,0,0.116908237733,2018_Aug_22_2201,None,Robot_Voice,001,c1,
red,red,1,left,3,4,22,0,,,right,0,0.366250869944,2018_Aug_22_2201,None,Robot_Voice,001,c1,
red,green,0,down,3,5,23,1,,,right,0,0.0675455519067,2018_Aug_22_2201,None,Robot_Voice,001,c1,
red,red,1,left,4,0,24,0,,,right,0,0.268040260398,2018_Aug_22_2201,None,Robot_Voice,001,c1,
green,green,1,down,4,1,25,2,,,right,0,0.350430225062,2018_Aug_22_2201,None,Robot_Voice,001,c1,
red,green,0,down,4,2,26,1,,,right,0,0.283237979969,2018_Aug_22_2201,None,Robot_Voice,001,c1,
blue,blue,1,right,4,3,27,4,,,right,1,0.333866648982,2018_Aug_22_2201,None,Robot_Voice,001,c1,
blue,red,0,left,4,4,28,5,,,right,0,0.301510455709,2018_Aug_22_2201,None,Robot_Voice,001,c1,
green,blue,0,right,4,5,29,3,,,right,1,0.28363549948,2018_Aug_22_2201,None,Robot_Voice,001,c1,
