task_1,task_1_raw,task_1_duration,robot_1,robot_2
sounds/pepper_sydney/sentence_04.wav,1,2,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_05.wav,2,3,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_06.wav,1,2,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_07.wav,2,3,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_08.wav,1,2,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_09.wav,2,3,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_10.wav,2,3,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_11.wav,1,2,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_12.wav,2,3,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_13.wav,1,2,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_14.wav,1,2,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_15.wav,1,2,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_16.wav,1,2,robot_imgs/stevie,robot_imgs/pepper
sounds/pepper_sydney/sentence_17.wav,1,2,robot_imgs/stevie,robot_imgs/pepper
